"state_no_vec","z","z_true","pr_post"
"4166 4167 4172","72 40","4172","0.1136 0.2685 0.6178"
"3962 4066 4166 4169 4171 4173 4465 4565","126 56","4565","0.0101 0.0301 0.1356 0.0828 0.3920 0.2986 0.0240 0.0266"
"3962 4064 4066 4166 4167 4170 4172 4269 4273 4374 4465 4565 4664","3 27","4664","0.0462 0.0147 0.0657 0.1349 0.1777 0.0356 0.2403 0.0401 0.0400 0.0374 0.0400 0.0411 0.0863"
"3962 4064 4066 4166 4167 4169 4171 4173 4369 4465 4475 4565 4663 4664","56 64","4664","0.0186 0.0350 0.0387 0.1529 0.0119 0.0608 0.1306 0.0662 0.0206 0.0357 0.0785 0.0414 0.1616 0.1478"
"3962 4064 4066 4166 4167 4169 4170 4172 4173 4269 4273 4368 4374 4375 4465 4469 4565 4575 4663 4664 4763","61 48","4763","0.0180 0.0119 0.0372 0.0503 0.0590 0.0026 0.0192 0.0553 0.0092 0.0273 0.0087 0.0059 0.0087 0.0194 0.0318 0.0065 0.0361 0.0210 0.2079 0.1059 0.2582"
"3962 4064 4066 4166 4167 4169 4170 4171 4172 4173 4269 4273 4369 4374 4465 4468 4475 4565 4569 4576 4663 4664 4762 4763 4864","85 46","4864","0.0078 0.0160 0.0206 0.0785 0.0131 0.0423 0.0017 0.0768 0.0087 0.0673 0.0016 0.0031 0.0215 0.0034 0.0096 0.0069 0.0339 0.0096 0.0041 0.0440 0.0877 0.0604 0.1327 0.1721 0.0765"
"3962 4064 4066 4166 4167 4169 4170 4171 4172 4173 4269 4273 4368 4374 4375 4465 4467 4469 4470 4475 4476 4565 4568 4575 4663 4664 4759 4762 4763 4864 5372","28 20","5372","0.0233 0.0099 0.0354 0.0491 0.0482 0.0047 0.0181 0.0056 0.0539 0.0073 0.0251 0.0093 0.0066 0.0085 0.0081 0.0169 0.0044 0.0060 0.0016 0.0038 0.0240 0.0164 0.0038 0.0077 0.0695 0.0208 0.1268 0.1367 0.1478 0.0588 0.0418"
"3962 4064 4066 4166 4167 4169 4170 4171 4172 4173 4269 4273 4369 4374 4375 4378 4465 4468 4469 4475 4477 4565 4569 4570 4575 4576 4663 4664 4757 4759 4760 4762 4763 4859 4864 5170 5372","92 52","5372","0.0064 0.0175 0.0164 0.0595 0.0111 0.0291 0.0025 0.0571 0.0079 0.0383 0.0025 0.0019 0.0169 0.0021 0.0023 0.0070 0.0089 0.0114 0.0025 0.0463 0.0138 0.0092 0.0057 0.0020 0.0024 0.0129 0.0181 0.0305 0.0274 0.0659 0.0322 0.0837 0.1031 0.0316 0.0481 0.0621 0.1037"
"3962 4064 4066 4166 4167 4169 4170 4171 4172 4173 4269 4273 4278 4368 4369 4374 4375 4377 4465 4467 4469 4470 4475 4476 4565 4568 4569 4571 4575 4576 4663 4664 4752 4757 4759 4760 4761 4762 4763 4773 4859 4861 4864 4959 4960 5070 5170 5372","40 55","5372","0.0075 0.0042 0.0147 0.0236 0.0264 0.0031 0.0089 0.0043 0.0266 0.0083 0.0136 0.0047 0.0026 0.0042 0.0018 0.0050 0.0117 0.0083 0.0103 0.0063 0.0045 0.0022 0.0027 0.0087 0.0111 0.0058 0.0011 0.0016 0.0137 0.0017 0.0324 0.0187 0.0408 0.0290 0.0836 0.0270 0.0194 0.0808 0.0527 0.0021 0.0299 0.0210 0.0417 0.0155 0.0151 0.0731 0.1194 0.0485"
"3962 4064 4066 4166 4167 4169 4170 4171 4172 4173 4269 4273 4279 4368 4369 4374 4375 4376 4378 4465 4468 4469 4470 4475 4476 4477 4565 4568 4569 4570 4575 4576 4663 4664 4672 4673 4752 4757 4759 4760 4761 4762 4763 4772 4859 4860 4861 4864 4952 4959 4960 4961 4969 5069 5070 5170 5372","124 85","5372","0.0029 0.0051 0.0069 0.0255 0.0047 0.0134 0.0014 0.0229 0.0064 0.0227 0.0019 0.0017 0.0054 0.0005 0.0313 0.0019 0.0013 0.0020 0.0040 0.0040 0.0097 0.0037 0.0005 0.0171 0.0073 0.0038 0.0042 0.0005 0.0053 0.0023 0.0014 0.0182 0.0162 0.0192 0.0019 0.0009 0.0176 0.0202 0.0499 0.0226 0.0114 0.0475 0.0536 0.0009 0.0228 0.0218 0.0119 0.0172 0.0270 0.0128 0.0180 0.0096 0.0300 0.0314 0.1595 0.0678 0.0686"
"3962 3981 4064 4066 4080 4166 4167 4169 4170 4171 4172 4173 4179 4269 4273 4278 4368 4369 4374 4375 4377 4378 4465 4467 4468 4469 4470 4475 4476 4477 4565 4568 4569 4570 4571 4575 4576 4663 4664 4672 4673 4752 4757 4759 4760 4761 4762 4763 4773 4859 4860 4861 4864 4870 4872 4952 4959 4960 4961 4968 4969 5052 5068 5069 5070 5170 5372","63 47","4378","0.0037 0.0012 0.0022 0.0079 0.0013 0.0122 0.0119 0.0021 0.0055 0.0042 0.0182 0.0058 0.0014 0.0151 0.0038 0.0022 0.0099 0.0525 0.0041 0.0060 0.0032 0.0010 0.0053 0.0066 0.0008 0.0105 0.0026 0.0065 0.0175 0.0020 0.0057 0.0063 0.0022 0.0006 0.0024 0.0060 0.0012 0.0229 0.0098 0.0004 0.0009 0.0163 0.0165 0.0425 0.0229 0.0133 0.0577 0.0407 0.0025 0.0266 0.0258 0.0180 0.0230 0.0151 0.0004 0.0150 0.0155 0.0387 0.0070 0.0159 0.0543 0.0237 0.0319 0.0521 0.0640 0.0619 0.0132"
"3783 3962 3981 4064 4066 4080 4166 4167 4169 4170 4171 4172 4173 4180 4269 4273 4278 4279 4368 4369 4374 4375 4376 4377 4378 4465 4467 4468 4469 4470 4475 4476 4477 4565 4568 4569 4570 4571 4575 4576 4663 4664 4672 4673 4674 4752 4757 4759 4760 4761 4762 4763 4764 4771 4772 4773 4859 4860 4861 4864 4870 4952 4959 4960 4961 4968 4969 4971 5052 5068 5069 5070 5152 5170 5372","120 -19","4278","0.0006 0.0038 0.0009 0.0054 0.0073 0.0005 0.0234 0.0055 0.0164 0.0015 0.0237 0.0075 0.0214 0.0009 0.0250 0.0016 0.0009 0.0040 0.0222 0.0434 0.0015 0.0034 0.0008 0.0036 0.0052 0.0029 0.0006 0.0195 0.0250 0.0013 0.0207 0.0041 0.0073 0.0027 0.0016 0.0095 0.0030 0.0006 0.0031 0.0071 0.0101 0.0113 0.0026 0.0012 0.0008 0.0151 0.0133 0.0449 0.0176 0.0110 0.0391 0.0410 0.0156 0.0154 0.0009 0.0010 0.0204 0.0360 0.0143 0.0125 0.0259 0.0132 0.0184 0.0296 0.0077 0.0384 0.0263 0.0004 0.0114 0.0504 0.0180 0.0526 0.0171 0.0106 0.0164"
"3683 3962 3981 4064 4066 4080 4081 4166 4167 4169 4170 4171 4172 4173 4179 4180 4269 4273 4278 4279 4368 4369 4374 4375 4376 4377 4378 4465 4467 4468 4469 4470 4475 4476 4477 4565 4568 4569 4570 4571 4575 4576 4663 4664 4672 4673 4674 4752 4757 4759 4760 4761 4762 4763 4764 4771 4772 4773 4859 4860 4861 4864 4870 4872 4952 4959 4960 4961 4968 4969 4971 5052 5068 5069 5070 5152 5170 5252 5372","55 40","4279","0.0004 0.0072 0.0011 0.0052 0.0119 0.0011 0.0006 0.0194 0.0177 0.0156 0.0086 0.0060 0.0215 0.0098 0.0010 0.0003 0.0240 0.0038 0.0025 0.0012 0.0155 0.0438 0.0036 0.0066 0.0006 0.0055 0.0010 0.0054 0.0141 0.0242 0.0148 0.0046 0.0040 0.0073 0.0010 0.0052 0.0112 0.0127 0.0012 0.0027 0.0063 0.0022 0.0129 0.0061 0.0009 0.0013 0.0005 0.0172 0.0185 0.0399 0.0253 0.0103 0.0609 0.0252 0.0265 0.0212 0.0124 0.0027 0.0307 0.0372 0.0166 0.0137 0.0106 0.0003 0.0172 0.0178 0.0410 0.0075 0.0318 0.0294 0.0003 0.0141 0.0295 0.0134 0.0080 0.0114 0.0116 0.0160 0.0075"
"3682 3962 3981 4064 4066 4080 4081 4166 4167 4169 4170 4171 4172 4173 4179 4180 4181 4269 4273 4278 4279 4368 4369 4374 4375 4376 4377 4378 4465 4467 4468 4469 4470 4475 4476 4477 4565 4568 4569 4570 4571 4575 4576 4663 4664 4672 4673 4674 4752 4757 4759 4760 4761 4762 4763 4764 4771 4772 4773 4859 4860 4861 4864 4870 4872 4952 4959 4960 4961 4968 4969 4971 5052 5068 5069 5070 5152 5170 5252 5253 5372","69 67","4080","0.0002 0.0023 0.0007 0.0048 0.0052 0.0005 0.0003 0.0178 0.0055 0.0132 0.0058 0.0161 0.0063 0.0123 0.0004 0.0006 0.0003 0.0176 0.0016 0.0006 0.0031 0.0121 0.0185 0.0017 0.0014 0.0010 0.0014 0.0024 0.0033 0.0141 0.0249 0.0193 0.0057 0.0105 0.0056 0.0023 0.0035 0.0136 0.0124 0.0044 0.0012 0.0016 0.0064 0.0059 0.0103 0.0092 0.0014 0.0009 0.0161 0.0128 0.0500 0.0194 0.0127 0.0543 0.0340 0.0152 0.0117 0.0246 0.0016 0.0269 0.0440 0.0201 0.0092 0.0172 0.0074 0.0164 0.0267 0.0474 0.0094 0.0360 0.0229 0.0007 0.0171 0.0382 0.0035 0.0156 0.0147 0.0106 0.0124 0.0180 0.0225"
"3962 3981 4064 4066 4080 4081 4166 4167 4169 4170 4171 4172 4173 4179 4180 4269 4273 4278 4279 4368 4369 4374 4375 4376 4377 4378 4465 4467 4468 4469 4470 4475 4476 4477 4565 4568 4569 4570 4571 4575 4576 4663 4664 4672 4673 4674 4752 4757 4759 4760 4761 4762 4763 4764 4771 4772 4773 4859 4860 4861 4864 4870 4872 4952 4959 4960 4961 4968 4969 4971 5052 5068 5069 5070 5152 5170 5252 5253 5353 5372","98 56","5372","0.0023 0.0017 0.0017 0.0056 0.0021 0.0008 0.0099 0.0095 0.0097 0.0063 0.0094 0.0141 0.0064 0.0015 0.0009 0.0122 0.0027 0.0021 0.0012 0.0060 0.0237 0.0030 0.0052 0.0004 0.0038 0.0019 0.0032 0.0162 0.0263 0.0139 0.0067 0.0080 0.0115 0.0026 0.0034 0.0153 0.0181 0.0065 0.0052 0.0057 0.0023 0.0095 0.0066 0.0173 0.0069 0.0011 0.0078 0.0125 0.0367 0.0203 0.0085 0.0464 0.0230 0.0191 0.0222 0.0164 0.0085 0.0262 0.0440 0.0154 0.0116 0.0150 0.0173 0.0103 0.0213 0.0456 0.0094 0.0381 0.0301 0.0110 0.0108 0.0276 0.0070 0.0155 0.0116 0.0323 0.0166 0.0091 0.0068 0.0153"
"3783 3882 3962 3981 4064 4066 4080 4081 4166 4167 4169 4170 4171 4172 4173 4179 4180 4181 4269 4273 4278 4279 4368 4369 4374 4375 4376 4377 4378 4465 4467 4468 4469 4470 4475 4476 4477 4565 4568 4569 4570 4571 4575 4576 4663 4664 4672 4673 4674 4752 4757 4759 4760 4761 4762 4763 4764 4771 4772 4773 4859 4860 4861 4864 4870 4872 4952 4959 4960 4961 4968 4969 4971 5052 5068 5069 5070 5152 5170 5252 5253 5353 5372 5553","38 20","5553","0.0004 0.0003 0.0032 0.0012 0.0033 0.0053 0.0007 0.0007 0.0177 0.0068 0.0107 0.0054 0.0157 0.0078 0.0124 0.0005 0.0010 0.0004 0.0140 0.0012 0.0010 0.0022 0.0086 0.0191 0.0011 0.0027 0.0006 0.0056 0.0023 0.0023 0.0189 0.0226 0.0160 0.0087 0.0092 0.0055 0.0029 0.0022 0.0177 0.0140 0.0062 0.0058 0.0025 0.0043 0.0075 0.0073 0.0110 0.0091 0.0029 0.0172 0.0163 0.0499 0.0237 0.0119 0.0484 0.0272 0.0145 0.0122 0.0196 0.0096 0.0323 0.0524 0.0196 0.0077 0.0121 0.0062 0.0094 0.0275 0.0521 0.0082 0.0239 0.0193 0.0133 0.0117 0.0206 0.0039 0.0292 0.0115 0.0107 0.0160 0.0164 0.0042 0.0069 0.0055"
